
1662436108689 :: get_profile ::  :: 1662436108689 :: response
ERROR  : Expecting value: line 1 column 1 (char 0)
1662436109666 :: funds :: None :: 1662436109666 :: response
ERROR  : Expecting value: line 1 column 1 (char 0)
1662436109668 :: holdings :: None :: 1662436110705 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'total_investment': 0, 'total_current_value': 0, 'total_pl': 0, 'pnl_perc': 0}}

1662436110707 :: tradebook :: None :: 1662436111706 :: {'s': 'ok', 'code': 200, 'message': '', 'tradeBook': []}

1662436111711 :: orderBook ::  :: 1662436112743 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': []}

1662436112748 :: positions ::  :: 1662436113776 :: {'s': 'ok', 'code': 200, 'message': '', 'netPositions': [], 'overall': {'count_total': 0, 'count_open': 0, 'pl_total': 0, 'pl_realized': 0, 'pl_unrealized': 0}}

1662436682008 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1662436683011 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 139.95, 'chp': 0.35, 'lp': 39945.7, 'spread': 0.0, 'ask': 39945.7, 'bid': 39945.7, 'open_price': 39892.95, 'high_price': 40073.75, 'low_price': 39863.25, 'prev_close_price': 39805.75, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1662422400, 'cmd': {'t': 1662436680, 'o': 39945.6, 'h': 39945.7, 'l': 39945.6, 'c': 39945.7, 'v': 0, 'tf': '9:28'}}}]}

1662436683012 :: quotes :: {'symbols': 'NSE:BANKNIFTY2290839800CE'} :: 1662436684000 :: {'s': 'ok', 'd': [{'n': 'NSE:BANKNIFTY2290839800CE', 's': 'ok', 'v': {'ch': 59.05, 'chp': 16.05, 'lp': 426.9, 'spread': 1.05, 'ask': 428.15, 'bid': 427.1, 'open_price': 367.85, 'high_price': 492.05, 'low_price': 360.0, 'prev_close_price': 367.85, 'volume': 3840000, 'short_name': 'BANKNIFTY2290839800CE', 'exchange': 'NSE', 'description': 'NSE:BANKNIFTY2290839800CE', 'original_name': 'NSE:BANKNIFTY2290839800CE', 'symbol': 'NSE:BANKNIFTY2290839800CE', 'fyToken': '101122090846466', 'tt': 1662422400, 'cmd': {'t': 1662436680, 'o': 426.9, 'h': 426.9, 'l': 426.9, 'c': 426.9, 'v': 1100, 'tf': '9:28'}}}]}

1662436684001 :: quotes :: {'symbols': 'NSE:BANKNIFTY2290840000PE'} :: 1662436684988 :: {'s': 'ok', 'd': [{'n': 'NSE:BANKNIFTY2290840000PE', 's': 'ok', 'v': {'ch': -89.8, 'chp': -19.96, 'lp': 360.05, 'spread': 0.15, 'ask': 360.2, 'bid': 360.05, 'open_price': 422.45, 'high_price': 422.45, 'low_price': 300.0, 'prev_close_price': 449.85, 'volume': 6323575, 'short_name': 'BANKNIFTY2290840000PE', 'exchange': 'NSE', 'description': 'NSE:BANKNIFTY2290840000PE', 'original_name': 'NSE:BANKNIFTY2290840000PE', 'symbol': 'NSE:BANKNIFTY2290840000PE', 'fyToken': '101122090846481', 'tt': 1662422400, 'cmd': {'t': 1662436680, 'o': 360.45, 'h': 361.5, 'l': 360.0, 'c': 360.05, 'v': 7400, 'tf': '9:28'}}}]}

1662436684992 :: place_order ::  :: 1662436686087 :: {'s': 'ok', 'code': 1101, 'message': 'Order Submitted Successfully. Your Order Ref. No.222090643505', 'id': '222090643505'}

1662436686090 :: place_order ::  :: 1662436687236 :: {'s': 'ok', 'code': 1101, 'message': 'Order Submitted Successfully. Your Order Ref. No.222090643525', 'id': '222090643525'}

1662436687240 :: orderBook ::  :: 1662436688267 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:05', 'id': '222090643505', 'exchOrdId': '1500000007260329', 'side': -1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 0.0, 'stopPrice': 0.0, 'type': 2, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643505:2', 'tradedPrice': 428.05, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': 59.95, 'chp': 16.3, 'lp': 427.8, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436688268 :: orderBook ::  :: 1662436689288 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:06', 'id': '222090643525', 'exchOrdId': '1700000006799838', 'side': -1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 0.0, 'stopPrice': 0.0, 'type': 2, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643525:2', 'tradedPrice': 357.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -92.3, 'chp': -20.52, 'lp': 357.55, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436689289 :: place_order ::  :: 1662436690352 :: {'s': 'ok', 'code': 1101, 'message': 'Order Submitted Successfully. Your Order Ref. No.222090643565', 'id': '222090643565'}

1662436690357 :: place_order ::  :: 1662436691442 :: {'s': 'ok', 'code': 1101, 'message': 'Order Submitted Successfully. Your Order Ref. No.222090643585', 'id': '222090643585'}

1662436691446 :: orderBook ::  :: 1662436692489 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:09', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 502.9, 'stopPrice': 501.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': 58.15, 'chp': 15.81, 'lp': 426.0, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436692491 :: orderBook ::  :: 1662436693519 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:10', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 436.1, 'stopPrice': 435.1, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643585:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -89.5, 'chp': -19.9, 'lp': 360.35, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436750014 :: orderBook ::  :: 1662436751085 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:09', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 502.9, 'stopPrice': 501.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': 59.6, 'chp': 16.2, 'lp': 427.45, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436751087 :: orderBook ::  :: 1662436752133 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:10', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 436.1, 'stopPrice': 435.1, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643585:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -95.15, 'chp': -21.15, 'lp': 354.7, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436810022 :: orderBook ::  :: 1662436811115 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:09', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 502.9, 'stopPrice': 501.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': 25.6, 'chp': 6.96, 'lp': 393.45, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436811115 :: orderBook ::  :: 1662436812146 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:10', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 436.1, 'stopPrice': 435.1, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643585:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -64.5, 'chp': -14.34, 'lp': 385.35, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436870023 :: orderBook ::  :: 1662436871132 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:28:09', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 502.9, 'stopPrice': 501.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': 7.25, 'chp': 1.97, 'lp': 375.1, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436871132 :: orderBook ::  :: 1662436872273 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -33.7, 'chp': -7.49, 'lp': 416.15, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436872273 :: modify_order :: {'id': '222090643565', 'type': 1, 'limitPrice': 442.9, 'stopPrice': 441.9, 'qty': 25} :: 1662436873585 :: {'s': 'ok', 'code': 1101, 'message': 'Successfully modified order', 'id': '222090643565'}

1662436930025 :: orderBook ::  :: 1662436931087 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -3.45, 'chp': -0.94, 'lp': 364.4, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

1662436931087 :: orderBook ::  :: 1662436932118 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:05', 'id': '222090643585', 'exchOrdId': '1700000006821796', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 2, 'qty': 25, 'remainingQuantity': 0, 'filledQty': 25, 'limitPrice': 436.1, 'stopPrice': 0.0, 'type': 1, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 2, 'fyToken': '101122090846481', 'offlineOrder': False, 'message': 'TRADE CONFIRMED', 'orderNumStatus': '222090643585:2', 'tradedPrice': 436.1, 'symbol': 'NSE:BANKNIFTY2290840000PE', 'ch': -19.3, 'chp': -4.29, 'lp': 430.55, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 40000 PE'}]}

1662436990026 :: orderBook ::  :: 1662436991151 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'orderDateTime': '06-Sep-2022 09:31:12', 'id': '222090643565', 'exchOrdId': '1500000007275646', 'side': 1, 'segment': 11, 'instrument': 14, 'productType': 'INTRADAY', 'status': 6, 'qty': 25, 'remainingQuantity': 25, 'filledQty': 0, 'limitPrice': 442.9, 'stopPrice': 441.9, 'type': 4, 'discloseQty': 0, 'dqQtyRem': 0, 'orderValidity': 'DAY', 'Source': 'ITS', 'exchange': 10, 'slNo': 1, 'fyToken': '101122090846466', 'offlineOrder': False, 'message': 'CONFIRMED', 'orderNumStatus': '222090643565:6', 'tradedPrice': 0.0, 'symbol': 'NSE:BANKNIFTY2290839800CE', 'ch': -23.7, 'chp': -6.44, 'lp': 344.15, 'ex_sym': 'BANKNIFTY', 'description': '22 Sep 08 39800 CE'}]}

